               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075639,            0.045056,            0.060398,              0.3924,             0.34304,              0.3466,             0.17283,            0.050478,            0.023635,            0.036126,           0.0033267,           0.0033267,             0.07006
                   1,            0.057066,             0.03876,            0.033136,             0.45641,             0.55224,              0.4813,             0.21872,            0.053523,            0.022733,            0.022416,           0.0065282,           0.0065282,            0.039928
                   2,            0.056089,            0.039628,            0.028247,             0.48695,             0.44186,             0.42729,             0.19901,            0.052449,            0.026251,             0.02397,           0.0095976,           0.0095976,            0.009664
                   3,             0.05272,             0.04297,            0.028708,             0.48985,             0.45939,             0.44597,             0.19961,            0.049962,            0.027585,            0.023773,            0.009406,            0.009406,            0.009406
                   4,            0.050482,            0.043778,            0.026314,             0.54141,             0.48691,             0.49309,             0.24791,            0.046485,            0.026514,            0.021888,            0.009406,            0.009406,            0.009406
                   5,            0.048739,            0.042744,            0.024055,              0.5622,             0.49455,             0.51203,             0.26648,            0.046211,            0.027132,            0.020331,            0.009208,            0.009208,            0.009208
                   6,             0.04704,            0.042072,             0.02301,             0.59898,             0.51103,             0.54481,             0.28515,            0.046159,            0.026242,            0.019559,             0.00901,             0.00901,             0.00901
                   7,            0.045971,            0.041428,            0.021358,             0.63727,             0.50058,             0.55652,             0.29612,            0.045422,            0.027101,              0.0191,            0.008812,            0.008812,            0.008812
                   8,            0.045178,            0.040723,            0.020233,             0.59992,             0.50743,             0.54366,             0.28457,            0.044585,            0.026617,            0.019918,            0.008614,            0.008614,            0.008614
                   9,            0.044017,             0.04044,            0.019697,             0.66924,             0.51224,             0.57904,             0.30877,            0.043423,            0.026282,            0.018344,            0.008416,            0.008416,            0.008416
                  10,            0.043799,            0.040119,            0.018348,             0.64061,              0.5474,             0.59394,             0.32391,            0.043344,            0.026021,            0.019119,            0.008218,            0.008218,            0.008218
                  11,            0.043396,            0.040079,            0.017329,             0.68625,             0.56616,             0.62755,             0.33948,            0.042555,            0.025158,            0.016969,             0.00802,             0.00802,             0.00802
                  12,             0.04257,            0.039348,            0.016774,             0.66858,             0.57998,               0.622,              0.3539,            0.041468,             0.02548,            0.016703,            0.007822,            0.007822,            0.007822
                  13,            0.041605,            0.039014,            0.015706,             0.65269,             0.57311,             0.62776,             0.36212,            0.041643,            0.025331,            0.016159,            0.007624,            0.007624,            0.007624
                  14,            0.040827,            0.038381,            0.015125,              0.6738,              0.5616,             0.62152,              0.3476,            0.041402,            0.025645,            0.015756,            0.007426,            0.007426,            0.007426
                  15,            0.041009,            0.038502,            0.014759,             0.66947,             0.58672,             0.62558,              0.3569,            0.040816,            0.025592,            0.016297,            0.007228,            0.007228,            0.007228
                  16,            0.040083,            0.038002,            0.014224,             0.68432,             0.57213,             0.63373,             0.36911,            0.040814,            0.025179,            0.015446,             0.00703,             0.00703,             0.00703
                  17,            0.039637,             0.03795,            0.013446,             0.71034,             0.57979,              0.6421,             0.37313,             0.04037,            0.025127,            0.015775,            0.006832,            0.006832,            0.006832
                  18,            0.039494,             0.03768,            0.013551,             0.68152,             0.58172,               0.629,             0.36926,            0.040508,            0.025266,            0.016424,            0.006634,            0.006634,            0.006634
                  19,            0.038647,            0.037375,            0.012561,             0.69869,             0.60862,             0.65545,             0.38129,            0.040577,            0.025282,            0.015331,            0.006436,            0.006436,            0.006436
                  20,            0.038723,            0.036457,            0.012419,             0.71072,             0.58392,             0.64694,             0.37649,            0.040337,            0.025294,            0.015665,            0.006238,            0.006238,            0.006238
                  21,            0.038591,            0.036889,            0.012692,             0.68239,             0.60629,             0.65051,             0.37561,            0.039746,            0.025393,            0.015509,             0.00604,             0.00604,             0.00604
                  22,            0.037889,              0.0363,            0.011931,             0.75856,             0.59651,             0.67714,             0.39981,            0.039483,            0.025145,            0.015046,            0.005842,            0.005842,            0.005842
                  23,            0.037461,            0.035915,            0.011201,             0.75285,             0.59493,             0.66996,             0.38434,             0.03971,            0.025256,            0.015169,            0.005644,            0.005644,            0.005644
                  24,            0.037016,            0.036342,            0.011208,             0.74412,             0.59813,              0.6727,             0.40154,             0.03962,            0.025288,              0.0152,            0.005446,            0.005446,            0.005446
                  25,            0.036843,            0.035915,             0.01044,             0.71833,             0.63707,             0.68417,             0.40137,            0.039003,            0.024712,            0.014698,            0.005248,            0.005248,            0.005248
                  26,            0.036688,            0.035493,            0.010787,             0.69125,             0.61137,             0.66558,              0.3997,            0.039384,            0.024942,            0.015171,             0.00505,             0.00505,             0.00505
                  27,            0.036053,            0.034362,            0.010641,             0.73459,             0.62516,             0.67853,             0.39754,            0.038918,            0.025485,            0.014852,            0.004852,            0.004852,            0.004852
                  28,            0.035655,            0.034911,            0.010222,             0.73031,             0.62919,             0.68562,             0.40954,            0.038611,            0.025023,            0.013843,            0.004654,            0.004654,            0.004654
                  29,            0.035291,             0.03433,           0.0099079,             0.73109,             0.64376,             0.69815,             0.41872,            0.038384,             0.02516,            0.013931,            0.004456,            0.004456,            0.004456
                  30,            0.034814,            0.033945,           0.0099336,             0.72524,             0.64348,             0.69364,             0.41972,            0.038513,            0.025048,            0.014877,            0.004258,            0.004258,            0.004258
                  31,            0.034989,            0.034118,           0.0092281,             0.72098,             0.64125,             0.69537,             0.42398,            0.038491,            0.024814,            0.014232,             0.00406,             0.00406,             0.00406
                  32,            0.034317,             0.03348,           0.0089813,             0.73146,             0.62533,             0.68143,             0.41417,            0.038517,            0.025204,            0.014446,            0.003862,            0.003862,            0.003862
                  33,            0.034064,            0.033243,           0.0091443,             0.72996,             0.64328,             0.69682,             0.42345,            0.038407,            0.025182,            0.014442,            0.003664,            0.003664,            0.003664
                  34,            0.033604,             0.03299,           0.0085935,             0.74596,             0.63566,             0.70486,             0.43559,            0.037941,            0.025121,            0.014294,            0.003466,            0.003466,            0.003466
                  35,            0.033478,            0.032353,           0.0086898,             0.70528,             0.66417,             0.69566,             0.42582,            0.038223,             0.02507,            0.014823,            0.003268,            0.003268,            0.003268
                  36,            0.033377,            0.032845,           0.0086205,             0.72276,             0.61549,             0.66927,             0.41087,            0.038845,            0.025814,            0.015648,             0.00307,             0.00307,             0.00307
                  37,            0.033733,            0.033474,           0.0090008,             0.74799,             0.62936,             0.69656,             0.43042,            0.037973,            0.025269,            0.014589,            0.002872,            0.002872,            0.002872
                  38,            0.032855,            0.032469,           0.0081407,             0.73454,             0.63295,             0.70012,             0.43408,            0.038018,            0.025551,            0.015043,            0.002674,            0.002674,            0.002674
                  39,            0.032477,            0.032601,           0.0081236,             0.74143,             0.65973,             0.71204,             0.44638,            0.037728,            0.025375,            0.013065,            0.002476,            0.002476,            0.002476
                  40,            0.032366,            0.032111,           0.0079934,             0.73201,             0.65969,             0.71285,             0.43965,             0.03804,            0.025224,             0.01349,            0.002278,            0.002278,            0.002278
                  41,             0.03165,            0.031402,           0.0079171,             0.74582,             0.63749,             0.70427,             0.43639,            0.038128,            0.025097,            0.013679,             0.00208,             0.00208,             0.00208
                  42,            0.031499,            0.031488,           0.0075905,             0.78017,              0.6322,             0.70611,             0.44013,            0.037918,            0.025338,            0.013289,            0.001882,            0.001882,            0.001882
                  43,            0.031006,            0.030662,           0.0074152,             0.76268,             0.64545,             0.71043,             0.44244,            0.037676,            0.025318,            0.013253,            0.001684,            0.001684,            0.001684
                  44,             0.03088,            0.031089,           0.0070174,              0.7577,             0.65059,             0.71268,             0.44644,            0.037727,             0.02559,            0.013544,            0.001486,            0.001486,            0.001486
                  45,            0.030577,                0.03,           0.0069701,             0.75885,             0.64405,             0.70924,             0.44639,            0.037476,            0.025604,            0.013555,            0.001288,            0.001288,            0.001288
                  46,            0.030135,            0.029813,           0.0072097,             0.77645,             0.64646,             0.71624,             0.45264,            0.037458,            0.025412,            0.013388,             0.00109,             0.00109,             0.00109
                  47,            0.029808,             0.03018,           0.0067062,             0.77467,             0.65073,             0.71668,              0.4549,             0.03753,            0.025468,            0.013787,            0.000892,            0.000892,            0.000892
                  48,            0.029887,            0.030162,           0.0065269,             0.77377,             0.65368,             0.72004,             0.45645,            0.037646,            0.025496,             0.01336,            0.000694,            0.000694,            0.000694
                  49,            0.029647,             0.03045,           0.0063136,             0.75804,             0.66523,             0.71996,              0.4578,            0.037395,            0.025673,            0.013396,            0.000496,            0.000496,            0.000496
